date,median,95_ci,05_ci,param,age_group,num_diseased
2020-08-31,1.055571561653881,1.0687379132209476,1.0421564415158897,contact_rate,50-59,1651.0
2020-09-01,1.0556380536422352,1.0685814816012413,1.0417536594656283,contact_rate,50-59,1651.0
2020-09-02,1.0558642739799817,1.0690192929608953,1.042529944445441,contact_rate,50-59,1651.0
2020-09-03,1.0568814312946186,1.0700728543538751,1.0420520740961252,contact_rate,50-59,1651.0
2020-09-04,1.0556822853573626,1.0690193005651598,1.0417772463445842,contact_rate,50-59,1651.0
2020-09-05,1.05747943015139,1.0712818307781102,1.043330508366548,contact_rate,50-59,1651.0
2020-09-06,1.0589071931860672,1.0733597393877385,1.0455931617809453,contact_rate,50-59,1651.0
2020-09-07,1.0576824534915354,1.071945910464973,1.0434325170503542,contact_rate,50-59,1651.0
2020-09-08,1.0585115132209117,1.0725888605289673,1.045255887085128,contact_rate,50-59,1651.0
2020-09-09,1.0590762725818896,1.0727399309257568,1.045774839357789,contact_rate,50-59,1651.0
2020-09-10,1.057111094310868,1.0711727910492654,1.043853148898826,contact_rate,50-59,1651.0
2020-09-11,1.056540361080427,1.0703456504142015,1.0432630990934746,contact_rate,50-59,1651.0
2020-09-12,1.0587461100396849,1.0746225844555766,1.0456693739113403,contact_rate,50-59,1651.0
2020-09-13,1.0606571071435744,1.0754397742147839,1.0465335288341928,contact_rate,50-59,1651.0
2020-09-14,1.059255924592076,1.0732622435209878,1.0452889619360621,contact_rate,50-59,1651.0
2020-09-15,1.0594871894123479,1.0738221577107094,1.0451687135707481,contact_rate,50-59,1651.0
2020-09-16,1.0607423341377307,1.074957080331468,1.0466862957408258,contact_rate,50-59,1651.0
2020-09-17,1.058696456072935,1.0733528289891265,1.0440620027918384,contact_rate,50-59,1651.0
2020-09-18,1.0601609021547869,1.075291025850411,1.0459070486347337,contact_rate,50-59,1651.0
2020-09-19,1.0617049924829425,1.0769210857412048,1.0465011709072116,contact_rate,50-59,1651.0
2020-09-20,1.0632882492523104,1.0786519760041058,1.0484484062900334,contact_rate,50-59,1651.0
2020-09-21,1.0625758707275543,1.0783475334831798,1.0474341150145448,contact_rate,50-59,1651.0
2020-09-22,1.0625535871608531,1.0787608771135577,1.0481181682630114,contact_rate,50-59,1651.0
2020-09-23,1.0637076080327224,1.078391698254011,1.048592876706701,contact_rate,50-59,1651.0
2020-09-24,1.063330468703148,1.0783466352259108,1.0480658266284628,contact_rate,50-59,1651.0
2020-09-25,1.0638329755447646,1.079405902984527,1.049079007859055,contact_rate,50-59,1651.0
2020-09-26,1.065333014138337,1.080510603325049,1.0505434679821875,contact_rate,50-59,1651.0
2020-09-27,1.0677735335276852,1.0836111317631996,1.0526406454974009,contact_rate,50-59,1651.0
2020-09-28,1.0640261605153039,1.08023862146552,1.0495175840282922,contact_rate,50-59,1651.0
2020-09-29,1.0651947162715587,1.0807483302262286,1.049766571106823,contact_rate,50-59,1651.0
2020-09-30,1.0674136625668313,1.082763075107475,1.0515588731675654,contact_rate,50-59,1651.0
2020-10-01,1.0693971269829152,1.0851515264999987,1.0537717265628528,contact_rate,50-59,1651.0
2020-10-02,1.0674483502999492,1.0824361148182706,1.0513121075638547,contact_rate,50-59,1651.0
2020-10-03,1.0676441193503732,1.0829054033004604,1.0509006163570027,contact_rate,50-59,1651.0
2020-10-04,1.067153796102928,1.082858505929116,1.0515760178284386,contact_rate,50-59,1651.0
2020-10-05,1.069398467995263,1.0849694307875437,1.053896595924635,contact_rate,50-59,1651.0
2020-10-06,1.071831172943495,1.0879622705357943,1.055965147046992,contact_rate,50-59,1651.0
2020-10-07,1.0710038995022049,1.087713659208821,1.055248934688082,contact_rate,50-59,1651.0
2020-10-08,1.071405429364326,1.0871441261140542,1.0556070846761054,contact_rate,50-59,1651.0
2020-10-09,1.072421962040813,1.088053717584905,1.0573203840427807,contact_rate,50-59,1651.0
2020-10-10,1.075310856152002,1.0905123828283407,1.05969310502246,contact_rate,50-59,1651.0
2020-10-11,1.0755717233910853,1.0926684142706906,1.0597115948123,contact_rate,50-59,1651.0
2020-10-12,1.075754534857533,1.092725628572725,1.0600356358103806,contact_rate,50-59,1651.0
2020-10-13,1.075433097100976,1.093087303433777,1.059239607643248,contact_rate,50-59,1651.0
2020-10-14,1.0772079394100134,1.0947727541955525,1.0610925233402437,contact_rate,50-59,1651.0
2020-10-15,1.0738533753139918,1.0919049822386253,1.0587183903978494,contact_rate,50-59,1651.0
2020-10-16,1.073633920897771,1.0914333238784875,1.056959823204612,contact_rate,50-59,1651.0
2020-10-17,1.075384787126779,1.094059162797844,1.058825795348117,contact_rate,50-59,1651.0
2020-10-18,1.0775782295591232,1.0969576987402363,1.0614572919473642,contact_rate,50-59,1651.0
2020-10-19,1.074649671139717,1.0935052862602406,1.0585057045487203,contact_rate,50-59,1651.0
2020-10-20,1.0730872335098733,1.0905235876042367,1.0570806953939977,contact_rate,50-59,1651.0
2020-10-21,1.07251336077681,1.089210548455024,1.0559246425323021,contact_rate,50-59,1651.0
